year,month,date,Time,latitude,longitude,depth,magnitude,DATE
2001,11,21,15:59:54,11.8439,92.8152,41,3.9,2001-11-21
2002,2,6,21:09:48,11.1015,92.2899,26,4.4,2002-02-06
2002,2,20,14:45:29,10.7594,92.6416,53,3.9,2002-02-20
2002,3,1,15:59:43,13.1557,93.5442,58,3.5,2002-03-01
2002,3,22,7:08:03,13.6465,92.977,0,3.6,2002-03-22
2002,4,17,23:00:18,12.9091,93.0036,32,3.8,2002-04-17
2002,5,5,0:20:47,10.5575,92.7849,0,4.1,2002-05-05
2002,5,17,23:05:50,11.6326,92.3796,32.1,4.7,2002-05-17
2002,5,25,12:06:25,11.0838,92.5774,26,3.3,2002-05-25
2002,6,2,11:14:33,10.3677,92.9055,56.5,3.4,2002-06-02
2002,6,5,16:06:40,11.1119,92.7544,54,4,2002-06-05
2002,6,27,12:40:01,12.574,93.3391,60,4.1,2002-06-27
2002,8,12,18:49:09,12.8641,93.1813,32,3.9,2002-08-12
2002,8,26,5:57:45,10.5333,92.7549,0,3.5,2002-08-26
2002,9,13,22:27:28,13.0334,93.3853,58,3.9,2002-09-13
2002,9,13,22:28:32,13.083,93.0881,30.2,6.3,2002-09-13
2002,9,13,22:39:15,13.0326,93.0537,32,4.7,2002-09-13
2002,9,13,22:48:39,13.0112,93.1267,32,4.1,2002-09-13
2002,9,13,23:14:09,12.9865,93.0474,32,5.1,2002-09-13
2002,9,13,23:16:08,13.1454,93.2766,58,4.5,2002-09-13
2002,9,13,23:21:37,12.9147,93.0477,32,3.9,2002-09-13
2002,9,13,23:38:40,12.9993,93.0485,32,3.9,2002-09-13
2002,9,13,23:44:48,13.1144,93.0924,32,4.5,2002-09-13
2002,9,14,1:01:39,13.1646,93.1398,32,4.4,2002-09-14
2002,9,14,1:59:58,12.8138,92.8811,0,3.2,2002-09-14
2002,9,14,2:05:23,12.9181,91.9496,0,4.1,2002-09-14
2002,9,14,6:56:58,12.8996,93.0319,32,4.3,2002-09-14
2002,9,14,7:21:25,12.9692,92.9077,32,3.8,2002-09-14
2002,9,14,9:11:10,12.9875,93.2729,58,4.1,2002-09-14
2002,9,14,9:20:01,12.9504,93.1387,32,4.1,2002-09-14
2002,9,14,9:49:24,13.009,92.838,32,4.1,2002-09-14
2002,9,14,11:03:39,13.5268,92.8681,0,3.3,2002-09-14
2002,9,14,15:10:12,13.0917,92.9903,32,4,2002-09-14
2002,9,14,16:40:02,12.9443,93.0135,32,3.9,2002-09-14
2002,9,14,17:36:34,13.0126,92.9593,32,3.8,2002-09-14
2002,9,14,18:51:11,12.8706,93.0193,0,3.4,2002-09-14
2002,9,14,19:58:38,12.9986,93.195,33.4,5.7,2002-09-14
2002,9,14,20:36:27,13.1216,93.2154,58,4.2,2002-09-14
2002,9,14,20:37:04,13.0791,93.3404,58,4.1,2002-09-14
2002,9,14,20:41:57,12.989,93.2928,58,4,2002-09-14
2002,9,14,21:15:36,12.9685,92.9808,32,4.2,2002-09-14
2002,9,14,21:36:32,13.092,93.077,32,4,2002-09-14
2002,9,14,22:10:54,12.9681,93.191,32,4,2002-09-14
2002,9,14,22:12:37,13.0608,93.1056,24.6,5.1,2002-09-14
2002,9,14,22:19:34,12.7493,93.0153,0,3.9,2002-09-14
2002,9,14,23:04:32,13.0424,93.1967,58,4.1,2002-09-14
2002,9,15,0:51:05,12.8929,92.9389,32,3.9,2002-09-15
2002,9,15,1:29:30,12.8797,92.9653,35,4.2,2002-09-15
2002,9,15,14:31:22,13.1159,92.9978,28.3,4.3,2002-09-15
2002,9,18,0:30:45,13.1266,93.1738,58,4.2,2002-09-18
2002,9,18,12:01:38,13.1703,93.1411,33.3,5.4,2002-09-18
2002,9,20,3:37:00,13.1009,93.091,34.4,4.7,2002-09-20
2002,9,21,4:51:04,13.1959,93.0081,26.6,4.3,2002-09-21
2002,9,21,7:42:15,12.767,92.9253,0,3.4,2002-09-21
2002,9,21,20:50:16,12.7323,92.8392,0,3.2,2002-09-21
2002,9,21,21:04:57,13.1255,93.1566,58,3.7,2002-09-21
2002,9,23,2:29:22,13.1917,92.9977,29,3.8,2002-09-23
2002,9,24,3:26:16,11.9289,92.2537,0,3.7,2002-09-24
2002,9,25,5:57:16,13.1243,92.935,32,4.2,2002-09-25
2002,9,25,20:15:52,12.8613,92.9965,0,3.4,2002-09-25
2002,9,26,8:33:48,12.7688,92.9594,0,3.7,2002-09-26
